,,,,,,,,,,,,,,,,
,26.02.25(수),,260,주초,주말,TIGER 미국나스닥100 주종가,지수 추세,시장 평가,,Date,TIGER 미국나스닥100 ,Date,KODEX 미국나스닥100레버리지(합성 H),TIGER 미국나스닥100레버리지(합성),ACE 미국빅테크TOP7 Plus레버리지(합성),TIMEFOLIO 미국나스닥100액티브
,15.09.28(월),,,11.12.26(월),11.12.29(목),"₩11,540","₩11,257",-2.45%,,11.01.14(금),"₩11,205",22.04.07(목),"₩7,630","₩11,130",,
,15.09.29(화),,,12.01.02(월),12.01.06(금),"₩11,995","₩11,308",-5.73%,,11.01.17(월),"₩11,320",22.04.08(금),"₩7,700","₩11,355",,
,15.10.09(금),,,12.01.09(월),12.01.13(금),"₩12,075","₩11,359",-5.93%,,11.01.18(화),"₩11,290",22.04.11(월),"₩7,355","₩10,980",,
,15.12.25(금),,,12.01.16(월),12.01.20(금),"₩12,215","₩11,416",-6.54%,,11.01.19(수),"₩11,295",22.04.12(화),"₩7,050","₩10,580",,
,15.12.31(목),,,12.01.25(수),12.01.27(금),"₩12,120","₩11,466",-5.40%,,11.01.20(목),"₩11,255",22.04.13(수),"₩7,155","₩10,600",,
,16.01.01(금),,,12.01.30(월),12.02.03(금),"₩12,270","₩11,520",-6.11%,,11.01.21(금),"₩11,165",22.04.14(목),"₩7,360","₩10,855",,
,16.02.02(화),,,12.02.06(월),12.02.10(금),"₩12,600","₩11,590",-8.02%,,11.01.24(월),"₩11,100",22.04.15(금),"₩7,025","₩10,420",,
,16.02.08(월),,,12.02.13(월),12.02.17(금),"₩12,820","₩11,667",-8.99%,,11.01.25(화),"₩11,230",22.04.18(월),"₩6,860","₩10,260",,
,16.02.09(화),,,12.02.20(월),12.02.24(금),"₩12,855","₩11,743",-8.65%,,11.01.26(수),"₩11,230",22.04.19(화),"₩7,075","₩10,620",,
,16.02.10(수),,,12.02.27(월),12.03.02(금),"₩12,955","₩11,821",-8.75%,,11.01.27(목),"₩11,275",22.04.20(수),"₩7,135","₩10,730",,
,16.03.01(화),,,12.03.05(월),12.03.09(금),"₩12,875","₩11,891",-7.64%,,11.01.28(금),"₩11,340",22.04.21(목),"₩7,135","₩10,780",,
,16.04.13(수),,,12.03.12(월),12.03.16(금),"₩13,390","₩11,984",-10.50%,,11.01.31(월),"₩11,105",22.04.22(금),"₩6,790","₩10,230",,
