,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,KODEX나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,23.05.26(금),"₩ 6,080",0.8%,8.93%,,"-₩ 81,800",-13,-13,"-₩ 79,040",1623,"₩ 9,946,880","₩ 9,867,840","₩ 9,845,915","₩ 19,713,755",49.94%,18.82%
,,,,,,,,,,23.06.02(금),"₩ 6,565",8.0%,6.61%,,"-₩ 787,155",-119,-119,"-₩ 781,235",1504,"₩ 10,654,995","₩ 9,873,760","₩ 10,627,150","₩ 20,500,910",51.84%,15.58%
,,,,,,,,,,23.06.09(금),"₩ 6,555",-0.2%,7.97%,,"₩ 10,032",1,1,"₩ 6,555",1505,"₩ 9,858,720","₩ 9,865,275","₩ 10,620,595","₩ 20,485,870",51.84%,15.64%
,,,,,,,,,,23.06.16(금),"₩ 7,215",10.1%,4.90%,,"-₩ 662,531",-91,-91,"-₩ 656,565",1414,"₩ 10,858,575","₩ 10,202,010","₩ 11,277,160","₩ 21,479,170",52.50%,11.55%
,,,,,,,,,,23.06.23(금),"₩ 6,985",-3.2%,4.09%,,"₩ 216,922",31,31,"₩ 216,535",1445,"₩ 9,876,790","₩ 10,093,325","₩ 11,060,625","₩ 21,153,950",52.29%,12.89%
,,,,,,,,,,23.06.30(금),"₩ 6,990",0.1%,3.29%,,"-₩ 4,819",0,0,₩ 0,1445,"₩ 10,100,550","₩ 10,100,550","₩ 11,060,625","₩ 21,161,175",52.27%,12.86%
,,,,,,,,,,23.07.07(금),"₩ 7,060",1.0%,4.02%,,"-₩ 67,467",-9,-9,"-₩ 63,540",1436,"₩ 10,201,700","₩ 10,138,160","₩ 11,124,165","₩ 21,262,325",52.32%,12.45%
,,,,,,,,,,23.07.14(금),"₩ 7,540",6.8%,4.04%,,"-₩ 459,750",-60,-60,"-₩ 452,400",1376,"₩ 10,827,440","₩ 10,375,040","₩ 11,576,565","₩ 21,951,605",52.74%,9.61%
,,,,,,,,,,23.07.21(금),"₩ 7,445",-1.3%,3.66%,,"₩ 87,190",11,11,"₩ 81,895",1387,"₩ 10,244,320","₩ 10,326,215","₩ 11,494,670","₩ 21,820,885",52.68%,10.15%
,,,,,,,,,,23.07.28(금),"₩ 7,475",0.4%,4.38%,,"-₩ 27,754",-3,-3,"-₩ 22,425",1384,"₩ 10,367,825","₩ 10,345,400","₩ 11,517,095","₩ 21,862,495",52.68%,9.98%
,,,,,,,,,,23.08.04(금),"₩ 7,410",-0.9%,2.67%,,"₩ 60,003",8,8,"₩ 59,280",1392,"₩ 10,255,440","₩ 10,314,720","₩ 11,457,815","₩ 21,772,535",52.63%,10.35%
,,,,,,,,,,23.08.11(금),"₩ 7,085",-4.4%,3.92%,,"₩ 301,751",42,42,"₩ 297,570",1434,"₩ 9,862,320","₩ 10,159,890","₩ 11,160,245","₩ 21,320,135",52.35%,12.21%
,,,,,,,,,,23.08.18(금),"₩ 6,665",-5.9%,6.21%,,"₩ 401,721",60,60,"₩ 399,900",1494,"₩ 9,557,610","₩ 9,957,510","₩ 10,760,345","₩ 20,717,855",51.94%,14.69%
