,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TIGER나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,23.03.03(금),"₩ 7,765",-2.4%,26.58%,,"₩ 176,408",22,22,"₩ 170,830",1414,"₩ 10,808,880","₩ 10,979,710","₩ 7,284,760","₩ 18,264,470",39.88%,23.34%
,,,,,,,,,,23.03.10(금),"₩ 7,905",1.8%,25.31%,,"-₩ 197,960",-25,-25,"-₩ 197,625",1389,"₩ 11,177,670","₩ 10,980,045","₩ 7,482,385","₩ 18,462,430",40.53%,22.51%
,,,,,,,,,,23.03.17(금),"₩ 8,500",7.5%,20.82%,,"-₩ 826,455",-97,-97,"-₩ 824,500",1292,"₩ 11,806,500","₩ 10,982,000","₩ 8,306,885","₩ 19,288,885",43.07%,19.04%
,,,,,,,,,,23.03.24(금),"₩ 8,515",0.2%,20.45%,,"-₩ 19,380",-2,-2,"-₩ 17,030",1290,"₩ 11,001,380","₩ 10,984,350","₩ 8,323,915","₩ 19,308,265",43.11%,18.96%
,,,,,,,,,,23.03.31(금),"₩ 8,950",5.1%,17.70%,,"-₩ 561,150",-62,-62,"-₩ 554,900",1228,"₩ 11,545,500","₩ 10,990,600","₩ 8,878,815","₩ 19,869,415",44.69%,16.60%
,,,,,,,,,,23.04.07(금),"₩ 9,290",3.8%,15.51%,,"-₩ 417,520",-44,-44,"-₩ 408,760",1184,"₩ 11,408,120","₩ 10,999,360","₩ 9,287,575","₩ 20,286,935",45.78%,14.85%
,,,,,,,,,,23.04.14(금),"₩ 9,155",-1.5%,16.81%,,"₩ 106,613",11,11,"₩ 100,705",1195,"₩ 10,839,520","₩ 10,940,225","₩ 9,186,870","₩ 20,127,095",45.64%,15.52%
,,,,,,,,,,23.04.21(금),"₩ 9,335",2.0%,15.36%,,"-₩ 215,100",-23,-23,"-₩ 214,705",1172,"₩ 11,155,325","₩ 10,940,620","₩ 9,401,575","₩ 20,342,195",46.22%,14.62%
,,,,,,,,,,23.04.28(금),"₩ 9,665",3.5%,13.58%,,"-₩ 386,760",-40,-40,"-₩ 386,600",1132,"₩ 11,327,380","₩ 10,940,780","₩ 9,788,175","₩ 20,728,955",47.22%,12.99%
,,,,,,,,,,23.05.04(목),"₩ 9,355",-3.2%,15.52%,,"₩ 234,064",25,25,"₩ 233,875",1157,"₩ 10,589,860","₩ 10,823,735","₩ 9,554,300","₩ 20,378,035",46.89%,14.47%
,,,,,,,,,,23.05.12(금),"₩ 10,000",6.9%,11.89%,,"-₩ 746,265",-74,-74,"-₩ 740,000",1083,"₩ 11,570,000","₩ 10,830,000","₩ 10,294,300","₩ 21,124,300",48.73%,11.33%
,,,,,,,,,,23.05.19(금),"₩ 10,540",5.4%,9.20%,,"-₩ 584,820",-55,-55,"-₩ 579,700",1028,"₩ 11,414,820","₩ 10,835,120","₩ 10,874,000","₩ 21,709,120",50.09%,8.88%
,,,,,,,,,,23.05.26(금),"₩ 10,595",0.5%,8.93%,,"-₩ 56,540",-5,-5,"-₩ 52,975",1023,"₩ 10,891,660","₩ 10,838,685","₩ 10,926,975","₩ 21,765,660",50.20%,8.64%
,,,,,,,,,,23.06.02(금),"₩ 11,060",4.4%,6.61%,,"-₩ 475,695",-43,-43,"-₩ 475,580",980,"₩ 11,314,380","₩ 10,838,800","₩ 11,402,555","₩ 22,241,355",51.27%,6.65%
,,,,,,,,,,23.06.09(금),"₩ 10,790",-2.4%,7.97%,,"₩ 176,488",16,16,"₩ 172,640",996,"₩ 10,574,200","₩ 10,746,840","₩ 11,229,915","₩ 21,976,755",51.10%,7.76%
,,,,,,,,,,23.06.16(금),"₩ 11,440",6.0%,4.90%,,"-₩ 431,816",-37,-37,"-₩ 423,280",959,"₩ 11,394,240","₩ 10,970,960","₩ 11,653,195","₩ 22,624,155",51.51%,5.04%
,,,,,,,,,,23.06.23(금),"₩ 11,720",2.4%,4.09%,,"-₩ 179,103",-15,-15,"-₩ 175,800",944,"₩ 11,239,480","₩ 11,063,680","₩ 11,828,995","₩ 22,892,675",51.67%,3.91%
,,,,,,,,,,23.06.30(금),"₩ 12,010",2.5%,3.29%,,"-₩ 182,598",-15,-15,"-₩ 180,150",929,"₩ 11,337,440","₩ 11,157,290","₩ 12,009,145","₩ 23,166,435",51.84%,2.76%
,,,,,,,,,,23.07.07(금),"₩ 11,865",-1.2%,4.02%,,"₩ 89,848",7,7,"₩ 83,055",936,"₩ 11,022,585","₩ 11,105,640","₩ 11,926,090","₩ 23,031,730",51.78%,3.33%
,,,,,,,,,,23.07.14(금),"₩ 11,835",-0.3%,4.04%,,"₩ 18,729",1,1,"₩ 11,835",937,"₩ 11,077,560","₩ 11,089,395","₩ 11,914,255","₩ 23,003,650",51.79%,3.45%
,,,,,,,,,,23.07.21(금),"₩ 12,005",1.4%,3.66%,,"-₩ 106,246",-8,-8,"-₩ 96,040",929,"₩ 11,248,685","₩ 11,152,645","₩ 12,010,295","₩ 23,162,940",51.85%,2.78%
,,,,,,,,,,23.07.28(금),"₩ 11,960",-0.4%,4.38%,,"₩ 27,884",2,2,"₩ 23,920",931,"₩ 11,110,840","₩ 11,134,760","₩ 11,986,375","₩ 23,121,135",51.84%,2.95%
,,,,,,,,,,23.08.04(금),"₩ 12,490",4.4%,2.67%,,"-₩ 329,118",-26,-26,"-₩ 324,740",905,"₩ 11,628,190","₩ 11,303,450","₩ 12,311,115","₩ 23,614,565",52.13%,0.88%
,,,,,,,,,,23.08.11(금),"₩ 12,305",-1.5%,3.92%,,"₩ 111,672",9,9,"₩ 110,745",914,"₩ 11,136,025","₩ 11,246,770","₩ 12,200,370","₩ 23,447,140",52.03%,1.58%
,,,,,,,,,,23.08.18(금),"₩ 11,885",-3.4%,6.21%,,"₩ 256,048",21,21,"₩ 249,585",935,"₩ 10,862,890","₩ 11,112,475","₩ 11,950,785","₩ 23,063,260",51.82%,3.20%
,,,,,,,,,,23.08.25(금),"₩ 11,710",-1.5%,7.01%,,"₩ 109,138",9,9,"₩ 105,390",944,"₩ 10,948,850","₩ 11,054,240","₩ 11,845,395","₩ 22,899,635",51.73%,3.88%
,,,,,,,,,,23.09.01(금),"₩ 12,725",8.7%,2.93%,,"-₩ 639,093",-50,-50,"-₩ 636,250",894,"₩ 12,012,400","₩ 11,376,150","₩ 12,481,645","₩ 23,857,795",52.32%,0.00%
,,,,,,,,,,23.09.08(금),"₩ 12,715",-0.1%,3.37%,,"₩ 5,963",0,0,₩ 0,894,"₩ 11,367,210","₩ 11,367,210","₩ 12,481,645","₩ 23,848,855",52.34%,0.04%
,,,,,,,,,,23.09.15(금),"₩ 12,880",1.3%,2.91%,,"-₩ 98,389",-7,-7,"-₩ 90,160",887,"₩ 11,514,720","₩ 11,424,560","₩ 12,571,805","₩ 23,996,365",52.39%,0.00%
,,,,,,,,,,23.09.22(금),"₩ 11,835",-8.1%,7.28%,,"₩ 618,252",52,52,"₩ 615,420",939,"₩ 10,497,645","₩ 11,113,065","₩ 11,956,385","₩ 23,069,450",51.83%,3.86%
