,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TIMEFOLIO나스닥액티브,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,23.08.11(금),"₩ 12,920",-2.9%,3.92%,,"₩ 274,497",21,21,"₩ 271,320",1104,"₩ 13,992,360","₩ 14,263,680","₩ 10,019,930","₩ 24,283,610",41.26%,1.67%
,,,,,,,,,,23.08.18(금),"₩ 12,705",-1.7%,6.21%,,"₩ 158,319",12,12,"₩ 152,460",1116,"₩ 14,026,320","₩ 14,178,780","₩ 9,867,470","₩ 24,046,250",41.04%,2.63%
,,,,,,,,,,23.08.25(금),"₩ 12,780",0.6%,7.01%,,"-₩ 83,700",-6,-6,"-₩ 76,680",1110,"₩ 14,262,480","₩ 14,185,800","₩ 9,944,150","₩ 24,129,950",41.21%,2.29%
,,,,,,,,,,23.09.01(금),"₩ 13,425",5.0%,2.93%,,"-₩ 477,539",-35,-35,"-₩ 469,875",1075,"₩ 14,901,750","₩ 14,431,875","₩ 10,414,025","₩ 24,845,900",41.91%,0.00%
,,,,,,,,,,23.09.08(금),"₩ 13,375",-0.4%,3.37%,,"₩ 35,851",2,2,"₩ 26,750",1077,"₩ 14,378,125","₩ 14,404,875","₩ 10,387,275","₩ 24,792,150",41.90%,0.22%
,,,,,,,,,,23.09.15(금),"₩ 13,420",0.3%,2.91%,,"-₩ 32,326",-2,-2,"-₩ 26,840",1075,"₩ 14,453,340","₩ 14,426,500","₩ 10,414,115","₩ 24,840,615",41.92%,0.02%
,,,,,,,,,,23.09.22(금),"₩ 12,640",-5.8%,7.28%,,"₩ 559,280",44,44,"₩ 556,160",1119,"₩ 13,588,000","₩ 14,144,160","₩ 9,857,955","₩ 24,002,115",41.07%,3.40%
,,,,,,,,,,23.09.27(수),"₩ 12,645",0.0%,7.88%,,"-₩ 5,595",0,0,₩ 0,1119,"₩ 14,149,755","₩ 14,149,755","₩ 9,857,955","₩ 24,007,710",41.06%,3.37%
,,,,,,,,,,23.10.06(금),"₩ 12,905",2.1%,7.33%,,"-₩ 290,940",-22,-22,"-₩ 283,910",1097,"₩ 14,440,695","₩ 14,156,785","₩ 10,141,865","₩ 24,298,650",41.74%,2.20%
,,,,,,,,,,23.10.13(금),"₩ 13,445",4.2%,4.41%,,"-₩ 395,117",-29,-29,"-₩ 389,905",1068,"₩ 14,749,165","₩ 14,359,260","₩ 10,531,770","₩ 24,891,030",42.31%,0.00%
,,,,,,,,,,23.10.20(금),"₩ 12,865",-4.3%,7.71%,,"₩ 413,166",32,32,"₩ 411,680",1100,"₩ 13,739,820","₩ 14,151,500","₩ 10,120,090","₩ 24,271,590",41.70%,2.49%
,,,,,,,,,,23.10.27(금),"₩ 12,435",-3.3%,11.24%,,"₩ 315,491",25,25,"₩ 310,875",1125,"₩ 13,678,500","₩ 13,989,375","₩ 9,809,215","₩ 23,798,590",41.22%,4.39%
,,,,,,,,,,23.11.03(금),"₩ 12,885",3.6%,9.39%,,"-₩ 506,250",-39,-39,"-₩ 502,515",1086,"₩ 14,495,625","₩ 13,993,110","₩ 10,311,730","₩ 24,304,840",42.43%,2.36%
,,,,,,,,,,23.11.10(금),"₩ 13,330",3.5%,7.86%,,"-₩ 483,270",-36,-36,"-₩ 479,880",1050,"₩ 14,476,380","₩ 13,996,500","₩ 10,791,610","₩ 24,788,110",43.54%,0.41%
,,,,,,,,,,23.11.17(금),"₩ 13,680",2.6%,5.19%,,"-₩ 367,500",-26,-26,"-₩ 355,680",1024,"₩ 14,364,000","₩ 14,008,320","₩ 11,147,290","₩ 25,155,610",44.31%,0.00%
,,,,,,,,,,23.11.24(금),"₩ 14,000",2.3%,3.49%,,"-₩ 218,563",-15,-15,"-₩ 210,000",1009,"₩ 14,336,000","₩ 14,126,000","₩ 11,357,290","₩ 25,483,290",44.57%,0.00%
,,,,,,,,,,23.12.01(금),"₩ 13,935",-0.5%,4.21%,,"₩ 43,745",3,3,"₩ 41,805",1012,"₩ 14,060,415","₩ 14,102,220","₩ 11,315,485","₩ 25,417,705",44.52%,0.26%
,,,,,,,,,,23.12.08(금),"₩ 14,035",0.7%,3.79%,,"-₩ 67,500",-4,-4,"-₩ 56,140",1008,"₩ 14,203,420","₩ 14,147,280","₩ 11,371,625","₩ 25,518,905",44.56%,0.00%
,,,,,,,,,,23.12.15(금),"₩ 14,445",2.9%,1.31%,,"-₩ 275,658",-19,-19,"-₩ 274,455",989,"₩ 14,560,560","₩ 14,286,105","₩ 11,646,080","₩ 25,932,185",44.91%,0.00%
,,,,,,,,,,23.12.22(금),"₩ 14,710",1.8%,0.10%,,"-₩ 174,811",-11,-11,"-₩ 161,810",978,"₩ 14,548,190","₩ 14,386,380","₩ 11,807,890","₩ 26,194,270",45.08%,0.00%
,,,,,,,,,,23.12.28(목),"₩ 14,920",1.4%,-0.24%,,"-₩ 136,988",-9,-9,"-₩ 134,280",969,"₩ 14,591,760","₩ 14,457,480","₩ 11,942,170","₩ 26,399,650",45.24%,0.00%
,,,,,,,,,,24.01.05(금),"₩ 14,560",-2.4%,2.06%,,"₩ 232,676",15,15,"₩ 218,400",984,"₩ 14,108,640","₩ 14,327,040","₩ 11,723,770","₩ 26,050,810",45.00%,1.32%
,,,,,,,,,,24.01.12(금),"₩ 15,075",3.5%,-0.87%,,"-₩ 338,009",-22,-22,"-₩ 331,650",962,"₩ 14,833,800","₩ 14,502,150","₩ 12,055,420","₩ 26,557,570",45.39%,0.00%
,,,,,,,,,,24.01.19(금),"₩ 15,505",2.9%,-3.73%,,"-₩ 275,911",-17,-17,"-₩ 263,585",945,"₩ 14,915,810","₩ 14,652,225","₩ 12,319,005","₩ 26,971,230",45.67%,0.00%
,,,,,,,,,,24.01.26(금),"₩ 15,835",2.1%,-5.29%,,"-₩ 208,004",-13,-13,"-₩ 205,855",932,"₩ 14,964,075","₩ 14,758,220","₩ 12,524,860","₩ 27,283,080",45.91%,0.00%
,,,,,,,,,,24.02.02(금),"₩ 16,050",1.4%,-4.57%,,"-₩ 133,653",-8,-8,"-₩ 128,400",924,"₩ 14,958,600","₩ 14,830,200","₩ 12,653,260","₩ 27,483,460",46.04%,0.00%
,,,,,,,,,,24.02.08(목),"₩ 16,820",4.8%,-6.05%,,"-₩ 426,888",-25,-25,"-₩ 420,500",899,"₩ 15,541,680","₩ 15,121,180","₩ 13,073,760","₩ 28,194,940",46.37%,0.00%
,,,,,,,,,,24.02.16(금),"₩ 17,620",4.8%,-6.78%,,"-₩ 431,520",-24,-24,"-₩ 422,880",875,"₩ 15,840,380","₩ 15,417,500","₩ 13,496,640","₩ 28,914,140",46.68%,0.00%
,,,,,,,,,,24.02.23(금),"₩ 17,800",1.0%,-6.84%,,"-₩ 94,500",-5,-5,"-₩ 89,000",870,"₩ 15,575,000","₩ 15,486,000","₩ 13,585,640","₩ 29,071,640",46.73%,0.00%
,,,,,,,,,,24.02.29(목),"₩ 17,755",-0.3%,-6.02%,,"₩ 46,980",2,2,"₩ 35,510",872,"₩ 15,446,850","₩ 15,482,360","₩ 13,550,130","₩ 29,032,490",46.67%,0.13%
,,,,,,,,,,24.03.08(금),"₩ 19,065",7.4%,-6.90%,,"-₩ 685,392",-35,-35,"-₩ 667,275",837,"₩ 16,624,680","₩ 15,957,405","₩ 14,217,405","₩ 30,174,810",47.12%,0.00%
,,,,,,,,,,24.03.15(금),"₩ 18,510",-2.9%,-5.70%,,"₩ 309,845",16,16,"₩ 296,160",853,"₩ 15,492,870","₩ 15,789,030","₩ 13,921,245","₩ 29,710,275",46.86%,1.54%
,,,,,,,,,,24.03.22(금),"₩ 19,075",3.1%,-7.92%,,"-₩ 289,167",-15,-15,"-₩ 286,125",838,"₩ 16,270,975","₩ 15,984,850","₩ 14,207,370","₩ 30,192,220",47.06%,0.00%
,,,,,,,,,,24.03.29(금),"₩ 19,095",0.1%,-8.15%,,"-₩ 10,056",0,0,₩ 0,838,"₩ 16,001,610","₩ 16,001,610","₩ 14,207,370","₩ 30,208,980",47.03%,0.00%
,,,,,,,,,,24.04.05(금),"₩ 18,735",-1.9%,-6.11%,,"₩ 362,016",19,19,"₩ 355,965",857,"₩ 15,699,930","₩ 16,055,895","₩ 13,851,405","₩ 29,907,300",46.31%,1.00%
,,,,,,,,,,24.04.12(금),"₩ 19,695",5.1%,-9.28%,,"-₩ 493,632",-25,-25,"-₩ 492,375",832,"₩ 16,878,615","₩ 16,386,240","₩ 14,343,780","₩ 30,730,020",46.68%,0.00%
,,,,,,,,,,24.04.19(금),"₩ 18,225",-7.5%,-3.72%,,"₩ 815,768",44,44,"₩ 801,900",876,"₩ 15,163,200","₩ 15,965,100","₩ 13,541,880","₩ 29,506,980",45.89%,3.98%
,,,,,,,,,,24.04.26(금),"₩ 18,470",1.3%,-5.10%,,"-₩ 143,152",-7,-7,"-₩ 129,290",869,"₩ 16,179,720","₩ 16,050,430","₩ 13,671,170","₩ 29,721,600",46.00%,3.28%
,,,,,,,,,,24.05.03(금),"₩ 18,140",-1.8%,-3.81%,,"₩ 191,276",10,10,"₩ 181,400",879,"₩ 15,763,660","₩ 15,945,060","₩ 13,489,770","₩ 29,434,830",45.83%,4.21%
,,,,,,,,,,24.05.10(금),"₩ 18,595",2.5%,-6.48%,,"-₩ 239,967",-12,-12,"-₩ 223,140",867,"₩ 16,345,005","₩ 16,121,865","₩ 13,712,910","₩ 29,834,775",45.96%,2.91%
,,,,,,,,,,24.05.17(금),"₩ 19,100",2.7%,-7.52%,,"-₩ 262,701",-13,-13,"-₩ 248,300",854,"₩ 16,559,700","₩ 16,311,400","₩ 13,961,210","₩ 30,272,610",46.12%,1.49%
,,,,,,,,,,24.05.24(금),"₩ 19,730",3.3%,-8.46%,,"-₩ 322,812",-16,-16,"-₩ 315,680",838,"₩ 16,849,420","₩ 16,533,740","₩ 14,276,890","₩ 30,810,630",46.34%,0.00%
,,,,,,,,,,24.05.31(금),"₩ 20,200",2.4%,-8.47%,,"-₩ 236,316",-11,-11,"-₩ 222,200",827,"₩ 16,927,600","₩ 16,705,400","₩ 14,499,090","₩ 31,204,490",46.46%,0.00%
,,,,,,,,,,24.06.07(금),"₩ 20,340",0.7%,-9.68%,,"-₩ 69,468",-3,-3,"-₩ 61,020",824,"₩ 16,821,180","₩ 16,760,160","₩ 14,560,110","₩ 31,320,270",46.49%,0.00%
,,,,,,,,,,24.06.14(금),"₩ 21,250",4.5%,-12.76%,,"-₩ 449,904",-21,-21,"-₩ 446,250",803,"₩ 17,510,000","₩ 17,063,750","₩ 15,006,360","₩ 32,070,110",46.79%,0.00%
,,,,,,,,,,24.06.21(금),"₩ 21,355",0.5%,-13.66%,,"-₩ 50,589",-2,-2,"-₩ 42,710",801,"₩ 17,148,065","₩ 17,105,355","₩ 15,049,070","₩ 32,154,425",46.80%,0.00%
,,,,,,,,,,24.06.28(금),"₩ 21,110",-1.1%,-12.87%,,"₩ 235,494",11,11,"₩ 232,210",812,"₩ 16,909,110","₩ 17,141,320","₩ 14,816,860","₩ 31,958,180",46.36%,0.61%
