Date,Close,Open,High,Low,Volume
2022-12-06,75458.02,75458.02,75458.02,75458.02,0
2022-12-07,75342.07,75342.07,75342.07,75342.07,0
2022-12-08,75752.21,75752.21,75752.21,75752.21,0
2022-12-09,75500.28,75500.28,75500.28,75500.28,0
2022-12-12,75380.73,75380.73,75380.73,75380.73,0
2022-12-13,75255.13,75255.13,75255.13,75255.13,0
2022-12-14,75259.99,75259.99,75259.99,75259.99,0
2022-12-15,75076.02,75076.02,75076.02,75076.02,0
2022-12-16,75089.81,75089.81,75089.81,75089.81,0
2022-12-19,75107.09,75107.09,75107.09,75107.09,0
2022-12-20,74744.89,74744.89,74744.89,74744.89,0
2022-12-21,75233.31,75233.31,75233.31,75233.31,0
2022-12-22,74790.51,74790.51,74790.51,74790.51,0
2022-12-23,74105.92,74105.92,74105.92,74105.92,0
2022-12-26,73793.18,73793.18,73793.18,73793.18,0
2022-12-27,73946.9,73946.9,73946.9,73946.9,0
2022-12-28,73585.88,73585.88,73585.88,73585.88,0
2022-12-29,73716.84,73716.84,73716.84,73716.84,0
2022-12-30,73551.1,73551.1,73551.1,73551.1,0
2023-01-02,74642.73,74642.73,74642.73,74642.73,0
2023-01-03,75357.78,75357.78,75357.78,75357.78,0
2023-01-04,76053.77,76053.77,76053.77,76053.77,0
2023-01-05,75450.19,75450.19,75450.19,75450.19,0
2023-01-06,75406.8,75406.8,75406.8,75406.8,0
2023-01-09,75083.11,75083.11,75083.11,75083.11,0
2023-01-10,75212.8,75212.8,75212.8,75212.8,0
2023-01-11,75550.67,75550.67,75550.67,75550.67,0
2023-01-12,75980.86,75980.86,75980.86,75980.86,0
2023-01-13,75977.5,75977.5,75977.5,75977.5,0
2023-01-16,76382.5,76382.5,76382.5,76382.5,0
2023-01-17,76373.97,76373.97,76373.97,76373.97,0
2023-01-18,76254.69,76254.69,76254.69,76254.69,0
2023-01-19,75932.35,75932.35,75932.35,75932.35,0
2023-01-20,76570.57,76570.57,76570.57,76570.57,0
2023-01-25,76591.1,76591.1,76591.1,76591.1,0
2023-01-26,76769.23,76769.23,76769.23,76769.23,0
